"","ID","Iden","Region","Population","Block","Treatment","flowers_pollinated","fruit_count","style_length_1","style_length_2","style_length_3","stamen_length_1","stamen_length_2","stamen_length_3","ovule_number_1","ovule_number_2","ovule_number_3","fruit_mass_1","fruit_mass_2","fruit_mass_3","viable_seed_1","viable_seed_2","viable_seed_3","aborted_seed_1","aborted_seed_2","aborted_seed_3","unfertilized_ovules_1","unfertilized_ovules_2","unfertilized_ovules_3","PD_mean","PD_median","PD_sd","PD_se","PD_max","PD_min","number","no_tubes","tubes","total_grains","Pictures","Germ.Tmin","Germ.Tmax","PTGR.Tmin","PTGR.Tmax","HCMS","CCMS","HCHPL","CCHPL","HPS","CPS"
"48","CE9","CE9D","South","CE","D","Heat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.728243463,0.5708272,0.506003208,0.416485835,NA,NA
"49","FR1","FR1A","North","FR","A","Control",3,3,13.3,11.3,12.8,7.1,7.2,7,28,91,104,NA,NA,NA,123,123,114,0,0,3,0,0,3,2.142434116,2.145644968,0.111907877,0.010435463,2.465842276,1.750520641,1,47,111,158,1,NA,NA,NA,NA,0.905575592,0.504587236,0.375,0.723274413,0.422382671,0.545454545
"50","FR1","FR1B","North","FR","B","Heat",3,3,11.1,12.7,10,5.3,6,4.2,105,101,77,NA,NA,NA,0,5,30,0,0,3,59,30,9,2.131573476,2.163853921,0.213441745,0.018169368,2.520212891,1.234010929,1,54,161,215,3,NA,NA,NA,NA,0.81483928,0.546717758,0.282760753,0.743994287,NA,NA
"51","FR1","FR1C","North","FR","C","Control",NA,NA,11.6,11.4,NA,7,7.2,NA,117,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.253144445,2.246183745,0.124952009,0.011221022,2.538434137,1.916729335,1,149,183,332,1,NA,NA,NA,NA,0.579220257,0.421900209,0.342787256,0.600970982,0.825301205,0.13256785
"52","FR1","FR1D","North","FR","D","Heat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","FR10","FR10A","North","FR","A","Heat",3,3,10.4,11.9,11.6,6,6.1,6.4,82,118,129,NA,NA,NA,82,79,85,0,3,2,9,3,2,1.825307404,1.853840636,0.176660934,0.01592898,2.293770484,1.334694707,10,46,130,176,1,9.454,50.866,9.988,41.56,0.568794917,0.524511834,0.286419597,0.54678308,NA,NA
"54","FR10","FR10B","North","FR","B","Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.643413914,0.513999635,0.187217834,0.645937777,0.686725664,0.631278539
"55","FR10","FR10C","North","FR","C","Heat",NA,NA,10.6,10.9,11.4,6.1,6.8,6,132,154,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.035011303,2.056565086,0.142615295,0.013018936,2.345808437,1.669361851,10,196,537,733,1,8.705,54.239,9.939,41.428,0.867930027,0.460391376,0.393907563,0.606620163,0.959276018,0.784313725
"56","FR10","FR10D","North","FR","D","Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.829313734,0.446630978,0.581480812,0.579882678,NA,NA
"57","FR11","FR11A","North","FR","A","Heat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,45,56,101,1,NA,NA,NA,NA,0.225174528,0.467638091,0.579278142,0.61212713,0.808888889,0.697857143
