ID,Iden,location,population,ramet,Germ.Tmin,Germ.Tmax,PTGR.Tmin,PTGR.Tmax,HCMS,CCMS,HCHPL,CCHPL,HPS,CPS
OP6,OP6B,South,OP,B,8.751,45.591,9.982,40.934,0.620238991,0.490473998,0.332006526,0.641137124,NA,NA
OP6,OP6C,South,OP,C,8.199,49.074,10.025,41.358,0.401906661,0.444003479,0.377692209,0.725755559,0.769662921,0.895104895
OP6,OP6D,South,OP,D,NA,NA,NA,NA,0.749331752,0.485314197,0.45505618,0.804202501,0.344502618,0.51409396
OP7,OP7A,South,OP,A,9.791,42.783,9.871,41.88,0.26428735,0.509770318,0.495424412,0.623688284,NA,0.269505495
OP7,OP7B,South,OP,B,9.231,44.735,9.695,41.061,0.39654001,0.648833395,0.477951008,0.777185637,NA,0.493710692
OP7,OP7C,South,OP,C,8.88,46.864,9.79,41.453,0.719749223,0.455627611,0.428755474,0.744144721,NA,NA
OP7,OP7D,South,OP,D,NA,NA,NA,NA,0.881502835,0.421404127,0.459641256,0.708812261,0.962903226,0.633628319
OP8,OP8A,South,OP,A,9.214,43.431,9.886,40.41,0.945557751,0.543389799,0.777157659,0.699563554,NA,NA
OP8,OP8B,South,OP,B,NA,NA,NA,NA,0.403811114,0.489147627,0.325026873,0.58309198,0.542016807,0.448717949
OP8,OP8C,South,OP,C,NA,NA,NA,NA,0.842215808,0.477916529,0.418896546,0.698354662,0.266489362,0.387931034
OP8,OP8D,South,OP,D,8.981,44.068,9.972,41.131,0.608066936,0.392081938,0.359869034,0.704229708,0.699421965,0.283035714
OP9,OP9A,South,OP,A,8.792,48.37,9.583,41.59,0.413963525,0.520332092,0.5967905,0.565587716,NA,0.587912088
OP9,OP9B,South,OP,B,NA,NA,NA,NA,0.413239556,0.549722921,0.452432549,0.677825068,0.436150235,0.608695652
OP9,OP9C,South,OP,C,9.115,46.351,10.281,42.164,0.553197975,0.447999328,0.459799609,0.503880929,0.834394904,0.609090909
OP9,OP9D,South,OP,D,9.831,43.175,9.897,40.917,0.672616441,0.452529011,0.41882773,0.691855191,NA,0.35619469
PI1,PI1A,North,PI,A,8.736,54.849,9.653,41.803,0.948378406,0.570151137,0.07,0.920007419,NA,0.956953642
PI1,PI1B,North,PI,B,NA,NA,NA,NA,0.885332195,0.48191699,0.52890806,0.732622908,NA,NA
PI1,PI1C,North,PI,C,8.853,61.88,9.656,41.965,0.67381278,0.556896119,0.41969423,0.829334953,0.740365112,0.291203704
PI1,PI1D,North,PI,D,NA,NA,NA,NA,0.518656875,0.462427766,0.293484672,0.663060834,NA,0.377934272
PI10,PI10A,North,PI,A,NA,NA,NA,NA,0.900973146,0.601237604,0.330360115,0.790197725,0.488372093,0.980694981
PI10,PI10B,North,PI,B,9.086,49.883,9.544,41.876,0.689191065,0.460627141,0.398629072,0.676579163,0.358673469,0.382899628
PI10,PI10C,North,PI,C,NA,NA,NA,NA,0.795283799,0.481758245,0.42042639,0.715025907,0.803191489,0.846390169
PI10,PI10D,North,PI,D,NA,NA,NA,NA,0.796611263,0.431288492,0.475303587,0.932509242,0.699876999,0.297652582
PI11,PI11A,North,PI,A,NA,NA,NA,NA,0.400431732,0.529959145,0.576446216,0.688126828,NA,0.465703971
PI11,PI11C,North,PI,C,9.231,53.319,9.974,41.789,0.771920819,0.472264695,0.465708296,0.677364865,NA,NA
PI11,PI11D,North,PI,D,NA,NA,NA,NA,0.758047979,0.332372178,0.372055367,0.794743816,NA,NA
PI12,PI12A,North,PI,A,NA,NA,NA,NA,0.928951009,0.505229257,0.569207306,0.696360177,0.233014354,0.392749245
PI12,PI12B,North,PI,B,6.191,50.109,9.738,41.633,0.770363468,0.515146122,0.430892266,0.725639162,NA,NA
PI12,PI12C,North,PI,C,NA,NA,NA,NA,0.811759152,0.473569069,0.409255447,0.907238068,0.893662728,0.891273247
PI12,PI12D,North,PI,D,7.845,56.199,10.227,42.258,0.749571768,0.539066212,0.785493387,0.719753041,0.81122449,0.361090909
PI13,PI13A,North,PI,A,9.643,50.308,9.996,41.183,0.565897936,0.580933553,0.754707605,0.629712859,NA,0.376209677
PI13,PI13B,North,PI,B,NA,NA,NA,NA,0.372889027,0.442210973,0.47993311,0.59776323,0.392592593,0.232698413
PI13,PI13C,North,PI,C,NA,NA,NA,NA,0.789474853,0.560451791,0.358702532,0.714581156,0.319101124,0.259539474
PI13,PI13D,North,PI,D,NA,NA,NA,NA,0.938579015,0.393647032,0.542644868,0.653416204,NA,0.346745562
PI14,PI14A,North,PI,A,9.614,53.422,9.915,41.993,0.973552007,0.53722326,0.514098164,0.790425134,0.641791045,0.827160494
PI14,PI14B,North,PI,B,9.332,47.59,9.792,41.194,0.470390014,0.467068074,0.32353777,0.704441768,0.483870968,0.967391304
PI14,PI14C,North,PI,C,NA,NA,NA,NA,0.783317884,0.478782836,0.364144048,0.71332008,0.712707182,0.715748031
PI14,PI14D,North,PI,D,NA,NA,NA,NA,0.743499403,0.487910673,0.365709765,0.811130504,0.915841584,0.350531915
PI15,PI15A,North,PI,A,9.35,50.618,9.519,40.779,0.823061264,0.537206948,0.22036983,0.8709647,0.553571429,0.516304348
PI15,PI15B,North,PI,B,NA,NA,NA,NA,0.594220665,0.480436417,0.598000422,0.766836372,NA,NA
PI15,PI15C,North,PI,C,8.037,51.98,10.132,41.471,0.594137136,0.549834212,0.318986623,0.73266745,0.747311828,0.31661442
PI15,PI15D,North,PI,D,9.323,48.772,9.684,41.808,0.819337232,0.421429612,0.543379569,0.573918112,1,0.50965251
PI18,PI18A,North,PI,A,9.232,50.145,9.34,40.724,0.538392209,0.520552575,0.625787592,0.808472867,NA,0.26352459
PI18,PI18C,North,PI,C,NA,NA,NA,NA,0.915385556,0.526356461,0.398357941,0.750189885,0.543478261,0.554054054
PI18,PI18D,North,PI,D,NA,NA,NA,NA,0.946146927,0.373603704,0.501639344,0.796621974,0.773076923,0.659898477
PI19,PI19A,North,PI,A,NA,NA,NA,NA,NA,0.637658976,NA,0.7972167,NA,0.343010753
PI19,PI19B,North,PI,B,NA,NA,NA,NA,0.568813191,0.517431619,0.43071161,0.725497288,0.810126582,0.066415094
PI19,PI19C,North,PI,C,NA,NA,NA,NA,NA,0.446375879,0.987116664,0.793098184,NA,NA
PI19,PI19D,North,PI,D,NA,NA,NA,NA,0.803933988,0.35754301,0.399621212,0.780854854,0.618064516,0.276646707
PI2,PI2A,North,PI,A,NA,NA,NA,NA,0.57898255,0.522096909,0.717027573,0.666310439,NA,0.411046512
PI2,PI2B,North,PI,B,9.138,51.699,10.036,41.602,0.666112151,0.517692617,0.460094254,0.746441131,NA,NA
PI2,PI2C,North,PI,C,NA,NA,NA,NA,0.899687851,0.508896418,0.629617457,0.780404467,0.483050847,0.471875
PI2,PI2D,North,PI,D,NA,NA,NA,NA,0.900375327,0.431965014,0.568599518,0.879331222,0.411764706,0.461904762
PI21,PI21A,North,PI,A,NA,NA,NA,NA,0.87741905,0.497722128,0.461121157,0.817292043,0.596491228,0.237345679
PI21,PI21B,North,PI,B,9.185,50.089,9.995,41.431,0.82808012,0.51371697,0.655946593,0.675888223,NA,NA
PI21,PI21C,North,PI,C,9.65,43.55,10.332,42.009,0.792421108,0.517266187,0.649623713,0.672575648,0.978835979,0.514084507
