ID,Iden,Region,Population,Treatment,Block,Number,style_length,stamen_length,ovule_number,mass,viable_seed,aborted_seed,unfertilized
OP5,OP5A,South,OP,Control,A,2,13,7.4,113,,61,0,0
OP5,OP5A,South,OP,Control,A,3,13.5,8,91,,72,0,0
OP5,OP5B,South,OP,Heat,B,1,10,6.9,111,,,,
OP5,OP5B,South,OP,Heat,B,2,10.4,7,147,,,,
OP5,OP5B,South,OP,Heat,B,3,12,5.9,88,,,,
OP5,OP5C,South,OP,Control,C,1,12.8,7,78,,,,
OP5,OP5C,South,OP,Control,C,2,12.9,7.1,94,,,,
OP5,OP5C,South,OP,Control,C,3,13.5,7.2,78,,,,
OP5,OP5D,South,OP,Heat,D,1,,,,,,,
OP5,OP5D,South,OP,Heat,D,2,,,,,,,
OP5,OP5D,South,OP,Heat,D,3,,,,,,,
OP6,OP6A,South,OP,Heat,A,1,,,,,,,
OP6,OP6A,South,OP,Heat,A,2,,,,,,,
OP6,OP6A,South,OP,Heat,A,3,,,,,,,
OP6,OP6B,South,OP,Control,B,1,12.3,6.7,79,,46,0,10
OP6,OP6B,South,OP,Control,B,2,12.8,7,88,,27,0,29
OP6,OP6B,South,OP,Control,B,3,11,7.7,77,,42,0,2
OP6,OP6C,South,OP,Heat,C,1,,,,,,,
OP6,OP6C,South,OP,Heat,C,2,,,,,,,
OP6,OP6C,South,OP,Heat,C,3,,,,,,,
OP6,OP6D,South,OP,Control,D,1,,,,,,,
OP6,OP6D,South,OP,Control,D,2,,,,,,,
OP6,OP6D,South,OP,Control,D,3,,,,,,,
OP7,OP7A,South,OP,Control,A,1,12,7.3,96,,74,0,1
OP7,OP7A,South,OP,Control,A,2,11,7,127,,61,0,3
OP7,OP7A,South,OP,Control,A,3,12,7.2,93,,61,0,0
OP7,OP7B,South,OP,Heat,B,1,,,,,,,
OP7,OP7B,South,OP,Heat,B,2,,,,,,,
OP7,OP7B,South,OP,Heat,B,3,,,,,,,
OP7,OP7C,South,OP,Control,C,1,12,7.4,105,,,,
OP7,OP7C,South,OP,Control,C,2,11.3,7.5,108,,,,
OP7,OP7C,South,OP,Control,C,3,11.2,7.6,104,,,,
OP7,OP7D,South,OP,Heat,D,1,10.4,6.9,101,,,,
OP7,OP7D,South,OP,Heat,D,2,10.8,6.9,104,,,,
OP7,OP7D,South,OP,Heat,D,3,,,,,,,
OP8,OP8A,South,OP,Heat,A,1,,,,,,,
OP8,OP8A,South,OP,Heat,A,2,,,,,,,
OP8,OP8A,South,OP,Heat,A,3,,,,,,,
OP8,OP8B,South,OP,Control,B,1,12.4,7.2,117,,90,0,1
OP8,OP8B,South,OP,Control,B,2,11.1,7.7,109,,59,0,11
OP8,OP8B,South,OP,Control,B,3,11.2,7.1,96,,86,0,1
OP8,OP8C,South,OP,Heat,C,1,,,,,,,
OP8,OP8C,South,OP,Heat,C,2,,,,,,,
OP8,OP8C,South,OP,Heat,C,3,,,,,,,
OP8,OP8D,South,OP,Control,D,1,13.2,8,87,,,,
OP8,OP8D,South,OP,Control,D,2,13.2,8,118,,,,
OP8,OP8D,South,OP,Control,D,3,10,7.4,96,,,,
OP9,OP9A,South,OP,Control,A,1,13.9,7.9,112,,94,0,7
OP9,OP9A,South,OP,Control,A,2,13.6,7.8,66,,64,0,6
OP9,OP9A,South,OP,Control,A,3,13.3,8.2,106,,67,0,3
OP9,OP9B,South,OP,Heat,B,1,,,,,,,
OP9,OP9B,South,OP,Heat,B,2,,,,,,,
OP9,OP9B,South,OP,Heat,B,3,,,,,,,
OP9,OP9C,South,OP,Control,C,1,13.9,8,106,,,,
OP9,OP9C,South,OP,Control,C,2,13.7,8,102,,,,
OP9,OP9C,South,OP,Control,C,3,13.3,8,80,,,,
OP9,OP9D,South,OP,Heat,D,1,11.9,7.5,140,,,,
